"ID","层级","证据","完整题名","作者","年份与出处","DOI或原始链接","任务与对象","输入形态","视角数量/角度/顺序/角度标签","数据与已知未知划分","多视融合","开集判决与阈值","指标与主要结果","代码和数据","明确局限","与本研究相似点","与本研究差异"
"C-07","多输入HRRP闭集","E2","Radar HRRP Target Recognition Method Based on Multi-Input Convolutional Gated Recurrent Unit With Cascaded Feature Fusion","Zhi Zeng; Jun Sun; Zhi Han; Wei Hong","2022; IEEE Geoscience and Remote Sensing Letters 19:1-5","10.1109/LGRS.2022.3192289","目标闭集识别","多输入HRRP序列/子序列","多输入有序；角度范围与标签见正文","HRRP数据；无未知类","CGRU与级联特征融合","无开集判决","论文报告优于闭集对比；具体值见原文","代码/数据未发现","仅闭集；序列偏置","深度多HRRP融合可作结构对照","不是开集；非显式集合不变"
"C-08","多站HRRP闭集","E1","基于角度引导Transformer融合网络的多站协同目标识别方法","郭帅; 陈婷; 王鹏辉; 丁军; 严俊坤; 王英华; 刘宏伟","2023; 雷达学报 12(3):516-528","10.12000/JR23014","多站协同飞机型号闭集识别","模拟3站；每站HRRP子序列","3站；每站8个HRRP子序列；显式目标方位角；站特征融合采用置换不变Transformer","5类实测飞机数据模拟多站；A320/A321/A330-2/A330-3/A350；无未知类","角度引导模块+前级交互+深层注意融合；置换不变Transformer用于站间特征","无开集判决","本文96.90%；普通多站Transformer 93.60%；CNN决策融合90.96%","正文公开；数据/代码未公开","依赖显式角度；模拟多站；仅闭集","Transformer和置换不变站间融合最接近集合结构","显式角度且有站身份；无未知拒识"
"C-09","多帧HRRP闭集","E1","MFA-Net: Multi-Frame Feature Aggregation Network for HRRP Target Recognition","Song Yiheng; Wang Yanhua","2025; Journal of Southeast University 41(3):384-391","10.3969/j.issn.1003-7985.2025.03.014","多帧HRRP闭集识别","连续多帧HRRP","连续时角帧；顺序有意义；角标签NR","仿真与实测；无未知类","距离可变形卷积；帧间注意；全局-局部Transformer","无开集判决","较对比方法提升超过3%；具体表见原文","代码/数据未发现","依赖连续帧；仅闭集","现代深度多帧融合","不处理无序集合和未知类"
"S-01","单视HRRP开集","E1","Application of a Weighted KNN Classifier for HRRP Out-of-Database Target Rejection","Chai Jing; Liu Hongwei; Bao Zheng","2010; 系统工程与电子技术 32(4):718-723","https://www.sys-ele.com/CN/Y2010/V32/I4/718","地面目标分类与库外拒识","单条HRRP","单视；角度标签NR","实测/仿真；人工生成库外HRRP用于训练或设计","不适用","加权KNN；ROC准则或损失函数确定工作点","论文报告满意拒识性能；逐表值见原文","无公开代码/数据","人工未知与真实未知分布不同；浅层距离","可作为每视角KNN分数融合历史基线","非真实多视联合；未知生成可能偏易"
"S-02","单视HRRP开集","E1","A Rejection and Recognition Method Based on Chain Coverage Model in Radar HRRP Target Recognition","Kuo Liao; Guan Gui; Ying Zhang; Wanlin Yang","2012; Research Journal of Applied Sciences Engineering and Technology 4(15):2273-2278","https://maxwellsci.com/print/rjaset/v4-2273-2278.pdf","目标分类与库外拒识","单条HRRP；训练样本按仰角排列","推理单视；训练用相邻仰角顺序构造链状覆盖；使用角度排序","HRRP数据；类别划分见正文","不适用","已知类样本的香肠状局部覆盖连接成闭合链；成员度冲突判类；阈值由覆盖模型决定","论文报告有效；标准AUROC/OSCR未报告","PDF公开；代码/数据未公开","高维覆盖和角度排序依赖；扩展性弱","可启发角度流形闭边界","推理非多视；显式训练角度顺序"
"S-03","单视HRRP开集","E1","A Novel Approach for Known and Unknown Target Discrimination Using HRRP","Daiying Zhou","2013; Research Journal of Applied Sciences Engineering and Technology 5(6):1943-1949","https://pdfs.semanticscholar.org/3b4b/677cf893f08b236a7cbf3ed68913174cb5d9.pdf","已知/未知目标二元鉴别","单条HRRP","单视；角度标签NR","实测HRRP；未知类别模型由统计方法构造","不适用","已知与未知GMM；对数似然比；阈值最小化鉴别错误","论文报告鉴别率约88%","PDF公开；代码/数据未公开","需要未知统计模型假设；不是联合分类-拒识完整多类评测","可迁移为视角似然稳健融合","单视；统计模型较弱"
"S-04","单视HRRP开集","E1","Unknown Target Rejection Based on Prior Knowledge and Statistical Model Using HRRP","Rong Wang; Daiying Zhou; Chundan Zheng; Jing Su","2012; Journal of Information and Computational Science 9(16):4737-4744","无DOI检出","未知目标拒识","单条HRRP","单视；角度标签NR","实测HRRP；按统计模型和先验生成未知训练集","不适用","先验+统计生成未知样本后训练拒识器；阈值细节见正文","论文报告实测有效；标准OSR指标NR","代码/数据未公开","生成未知可能与真实近邻未知不匹配","物理先验伪未知的早期依据","非多视；真实未知协议不充分"
"S-05","单视HRRP开集","E1","Convolutional Neural Networks for Radar HRRP Target Recognition and Rejection","Jinwei Wan; Bo Chen; Bin Xu; Hongwei Liu; Lin Jin","2019; EURASIP Journal on Advances in Signal Processing 2019:5","10.1186/s13634-019-0603-y","飞机HRRP分类与库外拒识","单条HRRP或其时频谱","单视；无多角联合；角标签NR","3类实测飞机已知；XPATCH仿真卡车作为未知","不适用","CNN分类+反卷积自编码；重构误差阈值；阈值通过ROC扫描","最佳AUROC约0.9662","论文开放获取；代码/数据未公开","仿真未知与实测已知存在域差；工作点用开放结果扫描","重构头易迁移到集合级或视角级聚合","单视；未知跨数据源可能偏易"
"S-06","单视HRRP开集","E1","Open Set HRRP Recognition With Few Samples Based on Multi-Modality Prototypical Networks","Long Tian; Bo Chen; Zekun Guo; Chuan Du; Yang Peng; Hongwei Liu","2022; Signal Processing 193:108391","10.1016/j.sigpro.2021.108391","少样本新类/开集HRRP识别","单条HRRP；支持集与查询集","multi-modality指姿态造成的类内多峰；不是多条联合输入","RareHRRP仿真50类飞机；episodic已知/新类划分","不适用","原型+Mahalanobis+FiLM；度量阈值/episode判决","优于论文few-shot/open-set对比；具体值见原文","RareHRRP是否完整公开需再核；代码未发现","任务含few-shot新类适配；multi-modality易被误收","原型和多峰类建模可用于集合特征","推理单条；不是多视输入"
"S-07","单视HRRP开集","E1","Radar HRRP Open Set Target Recognition Based on Closed Classification Boundary","Ziheng Xia; Penghui Wang; Hongwei Liu","2023; Remote Sensing 15(2):468","10.3390/rs15020468","已知目标分类与未知拒识","单条HRRP","单视；角度标签NR","实测HRRP；已知/未知划分见正文","不适用","基于KNN对象分布平衡检测已知类闭合边界；阈值由边界算法/邻域参数","多组实测实验显著提高OSR；逐表值见原文","全文开放；代码/数据未公开","高维邻域敏感；推理开销和跨划分稳定性需测","闭边界可作用于集合级特征","非多视；无可变视角评估"
"S-08","单视HRRP开集","E2","A Threshold Insensitive Open Set Recognition Scheme for AAV Targets Based on HRRP","Shifei Tao; Mingfei Mei; Jia Luo; Lingjie Yan; Xin Huang","2025; IEEE Transactions on Aerospace and Electronic Systems 61(2):4766-4775","10.1109/TAES.2024.3508661","8类AAV仿真HRRP开集识别","单条HRRP","单视；角度标签NR","8类AAV仿真；已知未知具体组合见正文","不适用","距离损失收紧区域+OpenMax；主张不依赖先验阈值搜索","未知拒识准确率超过95%","代码/数据未发现","仿真；摘要不足以核验全部split和校准；单视","闭区域+OpenMax可作为集合拒识头","不联合多角输入"
"S-09","单视HRRP开集","E1","Spatial Distribution Learning With Multivariate Extreme Value Boundary for Radar HRRP Open Set Recognition","Wentao Li; Shuai Li; Junyan Chen; Biao Tian; Shiyou Xu; Zengping Chen","2025; IEEE Transactions on Aerospace and Electronic Systems 61(3):6444-6459","10.1109/TAES.2025.3527429","已知飞机分类与未知拒识","单条HRRP","单视；角度标签NR","7类实测飞机；4已知3未知；4次重新划分","不适用","距离+方向空间分布学习；GEV边缘与Plackett copula多变量极值边界；阈值由训练集预设离群比例","六骨干平均AUROC/OSCR约0.9218/0.9140；额外划分约0.9139/0.9040","代码/数据未发现","离群比例未明确；GEV/iid假设；单视","强候选集合级原型/极值拒识头","需重新校准视角数变化"
"S-10","单视HRRP开集","E2","Regularization-Based Region Learning for Radar HRRP Open Set Recognition","Wentao Li; Shuai Li; Biao Tian; Pengjun Huang; Muhai Zheng; Shiyou Xu","2025; IEEE Transactions on Instrumentation and Measurement 74:2512615","10.1109/TIM.2025.3546410","HRRP开集识别","单条HRRP","单视；角度标签NR","数据与split见正文","不适用","L2正则与距离/角度区域学习；扇形区域融合；阈值规则见正文","论文报告优于原型基线；精确汇总值NR","代码/数据未发现","公开摘要不足以核验全部实验；单视","方向和距离的区域边界可迁移","无多视融合"
"S-11","单视HRRP开集","E2","HRRP Open-Set Recognition Via Physics-Guided Pseudo-OOD Generation and Prior Decoupling","Jixi Li; Weiwei Guo; Siyuan Mu; Feiming Wei; Tao Zhang; Wenxian Yu","2025; IEEE Transactions on Aerospace and Electronic Systems 61(4):9601-9618","10.1109/TAES.2025.3556812","HRRP已知分类与OOD拒识","单条HRRP","单视；使用径向/物理尺度先验；角度标签NR","数据和split见正文","不适用","物理先验域内伪OOD；先验解耦特征与虚拟先验；OOD对比学习；阈值细节见正文","论文报告优于对比；精确统一值NR","代码/数据未发现","伪OOD质量和先验混淆；单视；需防未知泄漏","最强物理先验伪未知迁移候选","集合级伪未知尚未验证"
"S-12","单视HRRP开集","E1/E2","OSFSM: A Systematic Open Set Framework for Radar Automatic Target Recognition Using HRRP","Wentao Li; Biao Tian; Jing Ma; Pengjun Huang; Shiyou Xu","2025; IEEE Transactions on Aerospace and Electronic Systems 61(5):12350-12365","10.1109/TAES.2025.3575045","HRRP已知分类与未知拒识","单条HRRP","单视；角度标签NR","4个开放集数据集；其中Dataset4为同源实测未知；具体split见正文","不适用","素数长度全尺度卷积；原型方向/距离；权重约束抑制logit；阈值由训练集预设离群比例","四数据集平均AUROC/OSCR约0.956/0.935；同源Dataset4约0.956/0.924","代码/数据未发现","前三个设置有跨源/目标族差异；离群比例未给出；单视","编码器与过置信约束可迁移","集合视角数与边界尺度未验证"
"S-13","单视HRRP开集","E2","ECAPL: Open Set Recognition on HRRP Through Expansive Consistency-Aware Prototypes","Junyan Chen; Wentao Li; Shuai Li; Biao Tian; Zengping Chen","2025; IEEE Transactions on Aerospace and Electronic Systems 61(6):17377-17397","10.1109/TAES.2025.3603568","HRRP已知分类与未知拒识","单条HRRP","单视；角度标签NR","数据/split见正文","不适用","扩张一致性原型；guidance points；prototype margin与双空间约束；阈值见正文","论文报告优于原型基线；统一汇总值NR","代码/数据未发现","单视；近期论文完整复现实物NR","原型边界可作为集合级拒识头","没有多HRRP联合验证"
"S-14","单视HRRP开集","E1/E2","Class-Specific Feature Reconstruction With Pseudo-Label for Open-Set HRRP Recognition","Qidi Pan; Jing Liang; Kuo Liao","2026; Pattern Recognition 172:112565","10.1016/j.patcog.2025.112565","地面/飞机HRRP开集识别","单条HRRP+30°角度组编码","单视推理；显式角度组；训练覆盖完整姿态","仿真6已知4未知；实测3已知1未知","不适用","ResFold+流形正则；伪标签选择类自编码器；MSE-余弦重构；类阈值为最大训练误差×ε；ε=0.95","仿真F1 95.76%；实测F1 91.39%；较重构OSR约+2.5%","代码/数据未发现","需要角度组与完整姿态；ε选择是否完全known-only不清","类特定重构适合迁移到集合特征","显式角度且单条输入"
"S-15","单视HRRP开集","E1","Open-Set Recognition of Radar One-Dimensional Range Profiles Based on Attention Mechanism and Multi-Task Joint Training","Bowen Bai; Long Xue; Mingyao Xue; Bailiang Pu","2026; IET Radar Sonar & Navigation 20(1):e70121","10.1049/rsn2.70121","已知分类、未知拒识并进一步区分未知子类","单条HRRP","单视；无多角联合；角度敏感由注意学习","HRRP数据；研究数据不共享；split见全文","不适用","CNN+双层多头注意；分类/中心/SmoothL1重构；原型距离后处理与未知聚类","全文称优于传统OSR；统一数值需按表提取","全文开放；Data Availability明确不共享；代码未见","单视；阈值/未知细分对真实部署需复核","注意+分类重构多任务可构成集合编码器和拒识头","非多视；未知子类任务超出本研究"
"S-16","单视HRRP开集","E1","Radar Automatic Target Open Set Recognition Based on Cluster Boundary Detection","Ziheng Xia; Mengdie Wu","2026; IEEE Access 14:7365-7378","10.1109/ACCESS.2026.3652238","实测飞机HRRP已知分类与未知拒识","单条HRRP","单视；角度标签NR","13类实测飞机；每类3000训练/1000测试；7已知6未知；5种类别组合","不适用","按测试点到簇点的向量角分布检测边界点；边界比例τ通常0.05-0.1","多组合AUROC与macro-F1较原特征提取器约提升10%和3%；逐表见全文","论文PDF开放；PyTorch但代码/数据未公开","τ经验区间；边界搜索开销；单视","可在集合级特征上做非参数闭边界","未测试视角数变化和集合融合"
"R-01","强相关：运动状态","E1","HRRPSeqNet: Open-Set Recognition of Space Target Motions Using HRRP Sequences","Yanjin Zhang; Xuejian Feng; Hongcheng Yin; Xiao Wei; Hua Yan","2025; IEEE Transactions on Aerospace and Electronic Systems 61(3):7481-7496","10.1109/TAES.2025.3540808","空间目标运动状态开集识别；不是目标身份","8/12/16条HRRP有序堆叠为二维序列","V=8/12/16；严格时间顺序；无姿态集合概念；结合物理统计特征","仿真3已知、最多5未知运动；实测2已知1未知运动","PartInception编码解码；序列与距离长度/散射熵/质心/偏度融合","KLOS用样本高斯到类先验KL修正分数；最大概率阈值η=0.98由开放实验选择","仿真开放度38.7% Micro-F1/AUROC 0.949/0.990；实测0.897/0.908","代码/数据未发现","识别标签不同；阈值可能接触未知；顺序依赖","直接证明多HRRP深度联合+开集可行","运动状态而非型号；有序序列"
"R-02","强相关：HRRP+ISAR多模态","E1","基于多源信息融合的目标识别方法研究 / Research on Target Recognition Method Based on Multi-Source Information Fusion","Cong Xiaoyu; Yang Jiayi; Shan Shichen; Zuo Qian","2026; 空天防御 9(1):12-19","https://www.qk.sjtu.edu.cn/ktfy/EN/abstract/abstract51126.shtml","空间目标闭集与开集识别","HRRP与极化ISAR两种模态","不是多条HRRP；模态配对；HRRP角度标签NR","数据与类别划分见全文","PCA/HRRP时频+Pauli ISAR；改进ResNet18+Transformer对齐融合","OpenMax；Weibull类边界；阈值细节NR","闭集准确率90.43%；未知拒识率91.39%","PDF可下；代码/数据未公开","多模态成本；类别划分和阈值细节有限","Transformer融合和OpenMax组合可借鉴","输入模态不同；不是多视HRRP集合"
"R-03","强相关：通用集合","E1","Deep Sets","Manzil Zaheer; Satwik Kottur; Siamak Ravanbakhsh; Barnabás Póczos; Ruslan Salakhutdinov; Alexander J. Smola","2017; NeurIPS","https://proceedings.neurips.cc/paper/2017/hash/f22e4747da1aa27e363d86d40ff442fe-Abstract.html","通用集合函数学习；闭集任务为主","无序元素集合","可变V；严格置换不变；无角度标签","通用集合数据；非HRRP；无未知类","ρ(sum φ(x))等不变结构","无内置开集判决","多项集合任务验证；不提供HRRP结果","公开实现生态丰富；非HRRP数据","简单求和可能损失高阶交互；非OSR","与随机无序HRRP输入结构完全匹配","需另加HRRP编码器和开集头"
"R-04","强相关：通用集合","E1","Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks","Juho Lee; Yoonho Lee; Jungtaek Kim; Adam R. Kosiorek; Seungjin Choi; Yee Whye Teh","2019; ICML; PMLR 97:3744-3753","https://proceedings.mlr.press/v97/lee19d.html","通用集合建模；闭集/生成任务","无序元素集合","可变V；无位置编码时置换等变/不变；无角度标签","通用集合数据；非HRRP","self-attention建模元素交互；PMA聚合","无内置开集判决","多项集合任务优于简单pooling；不提供HRRP结果","公开代码生态；非HRRP数据","计算随V增长；无开集校准","最适合宽角元素交互的结构候选","需HRRP领域验证和拒识头"
"R-05","强相关：多视信号开集","E2","Multi-View Discriminant Framework for Automatic Modulation Open Set Recognition","Jiaye Hou; Dongwei Xu; Fuxing Song; Zhuangzhi Chen; Qi Xuan; Shilian Zheng; Yun Lin; Xiaoniu Yang","2025; IEEE Transactions on Communications 73(6):4378-4393","10.1109/TCOMM.2024.3506934","调制信号多视开集识别","多种信号表征视图","多视表示；不是同目标多角HRRP；顺序/角标签不适用","调制数据集；已知未知划分见正文","多视判别表示与融合","开放边界机制见正文；阈值NR","论文报告优于调制OSR对比；HRRP结果无","代码/数据状态NR","跨任务；视图语义与HRRP角度不同","多视融合与开放边界联合设计可借鉴","非雷达HRRP；视图不是随机角度样本"
"R-06","强相关：通用多视开世界","E2","Trusted Open-World Multi-View Classification With Dynamic Opinion Aggregation","Zhicheng Dong; Xiaodong Yue; Yufei Chen; Yuxian Zhou","2025; ACM Multimedia:1181-1189","10.1145/3746027.3755015","可信多视开世界分类","多个语义视图","视图数固定/缺失设置见正文；非角度集合","通用多视数据；已知未知划分见正文","不确定性意见与动态聚合","证据/意见不确定性用于未知；阈值见正文","论文多数据集结果见正文；HRRP结果无","代码状态NR","非HRRP；证据校准假设需重验","可靠性加权可处理坏视角","视图语义和数据分布不同"
